"index","language","sentimentPolarity","sentimentLabel","usedChars"
"558","cs","1","positive","100"
"65915","cs","0","neutral","100"
"50035","cs","0","neutral","100"
"41317","cs","0","neutral","100"
"62875","cs","1","positive","182"
"11852","cs","1","positive","120"
"6199","cs","-1","negative","100"
"69750","cs","0","neutral","129"
"1539","cs","0","neutral","100"
"60372","cs","1","positive","100"
"53824","cs","1","positive","100"
"2065","cs","0","neutral","100"
"9402","cs","0","neutral","100"
"15560","cs","1","positive","260"
"30475","cs","1","positive","663"
"66189","cs","1","positive","100"
"4492","cs","1","positive","100"
"64934","cs","-1","negative","100"
"14461","cs","1","positive","100"
"46796","cs","1","positive","100"
"18497","cs","0","neutral","313"
"31548","cs","0","neutral","100"
"13810","cs","0","neutral","100"
"55610","cs","1","positive","100"
"4567","cs","0","neutral","100"
"3520","cs","-1","negative","100"
"64827","cs","1","positive","133"
"36619","cs","1","positive","100"
"1693","cs","0","neutral","129"
"46084","cs","1","positive","162"
"17134","cs","1","positive","100"
"24907","cs","-1","negative","100"
"39335","cs","1","positive","100"
"48391","cs","-1","negative","111"
"33504","cs","0","neutral","100"
"41272","cs","1","positive","100"
"38788","cs","0","neutral","100"
"16979","cs","-1","negative","100"
"46458","cs","0","neutral","234"
"26655","cs","0","neutral","100"
"48924","cs","1","positive","198"
"30263","cs","-1","negative","106"
"25905","cs","0","neutral","100"
"7620","cs","0","neutral","100"
"61295","cs","1","positive","100"
"25796","cs","0","neutral","100"
"69850","cs","0","neutral","100"
"26308","cs","0","neutral","100"
"6141","cs","0","neutral","100"
"39675","cs","1","positive","100"
"47303","cs","1","positive","178"
"24409","cs","1","positive","100"
"21512","cs","0","neutral","100"
"22737","cs","1","positive","100"
"58619","cs","1","positive","200"
"52722","cs","1","positive","100"
"51147","cs","1","positive","150"
"63409","cs","1","positive","100"
"12862","cs","1","positive","100"
"21639","cs","1","positive","100"
"1600","cs","1","positive","100"
"63927","cs","0","neutral","100"
"7861","cs","0","neutral","100"
"48949","cs","0","neutral","196"
"4544","cs","0","neutral","100"
"63144","cs","1","positive","100"
"25477","cs","-1","negative","116"
"42156","cs","1","positive","100"
"59210","cs","1","positive","149"
"34259","cs","0","neutral","100"
"29873","cs","0","neutral","100"
"67348","cs","0","neutral","100"
"15880","cs","0","neutral","100"
"38083","cs","-1","negative","245"
"52314","cs","-1","negative","100"
"50209","cs","0","neutral","100"
"2246","cs","1","positive","129"
"65731","cs","1","positive","100"
"15055","cs","1","positive","111"
"21528","cs","1","positive","100"
"36192","cs","0","neutral","100"
"19239","cs","1","positive","100"
"47302","cs","1","positive","100"
"10025","cs","0","neutral","250"
"64891","cs","1","positive","110"
"49718","cs","0","neutral","433"
"62851","cs","0","neutral","217"
"14075","cs","1","positive","100"
"40971","cs","1","positive","100"
"1789","cs","-1","negative","100"
"55292","cs","0","neutral","601"
"29311","cs","0","neutral","132"
"52864","cs","0","neutral","100"
"48677","cs","1","positive","100"
"54851","cs","0","neutral","143"
"10948","cs","0","neutral","100"
"69253","cs","1","positive","149"
"44023","cs","0","neutral","120"
"64987","cs","1","positive","143"
"59675","cs","1","positive","121"
"29502","cs","-1","negative","100"
"30713","cs","1","positive","463"
"6040","cs","1","positive","102"
"52038","cs","0","neutral","100"
"38576","cs","-1","negative","158"
"11463","cs","0","neutral","100"
"5850","cs","0","neutral","100"
"15208","cs","0","neutral","100"
"59596","cs","1","positive","100"
"14548","cs","-1","negative","100"
"24917","cs","-1","negative","166"
"431","cs","0","neutral","100"
"38659","cs","1","positive","100"
"61874","cs","0","neutral","100"
"14726","cs","0","neutral","100"
"44380","cs","0","neutral","100"
"12072","cs","1","positive","100"
"325","cs","1","positive","193"
"20362","cs","0","neutral","100"
"50964","cs","1","positive","215"
"50020","cs","0","neutral","100"
"62518","cs","0","neutral","100"
"50375","cs","0","neutral","160"
"66046","cs","-1","negative","173"
"14637","cs","1","positive","100"
"16874","cs","1","positive","100"
"5772","cs","0","neutral","100"
"13278","cs","1","positive","100"
"21569","cs","1","positive","100"
"58228","cs","1","positive","100"
"70444","cs","0","neutral","100"
"42164","cs","1","positive","100"
"17855","cs","0","neutral","100"
"63125","cs","0","neutral","107"
"14657","cs","0","neutral","100"
"61653","cs","0","neutral","100"
"23771","cs","1","positive","100"
"33572","cs","0","neutral","100"
"65522","cs","0","neutral","100"
"3634","cs","0","neutral","100"
"54831","cs","1","positive","134"
"26087","cs","0","neutral","192"
"62976","cs","1","positive","156"
"20203","cs","-1","negative","100"
"69568","cs","0","neutral","177"
"2587","cs","0","neutral","100"
"30086","cs","-1","negative","107"
"15381","cs","0","neutral","100"
"32612","cs","0","neutral","100"
"17918","cs","0","neutral","100"
"20842","cs","1","positive","232"
"69266","cs","0","neutral","100"
"37391","cs","1","positive","152"
"24831","cs","1","positive","100"
"70391","cs","0","neutral","821"
"15631","cs","0","neutral","100"
"46919","cs","1","positive","113"
"16242","cs","0","neutral","115"
"49416","cs","-1","negative","267"
"54207","cs","0","neutral","100"
"31842","cs","1","positive","100"
"20949","cs","0","neutral","100"
"63495","cs","0","neutral","150"
"20035","cs","1","positive","100"
"23257","cs","1","positive","100"
"40119","cs","0","neutral","100"
"8786","cs","0","neutral","100"
"10123","cs","1","positive","226"
"14583","cs","0","neutral","100"
"3509","cs","1","positive","100"
"17436","cs","0","neutral","100"
"2165","cs","0","neutral","204"
"47666","cs","0","neutral","100"
"57053","cs","1","positive","100"
"54991","cs","1","positive","100"
"9077","cs","0","neutral","100"
"32856","cs","1","positive","100"
"51036","cs","0","neutral","100"
"65544","cs","1","positive","149"
"2207","cs","-1","negative","120"
"63355","cs","0","neutral","100"
"36357","cs","-1","negative","100"
"67527","cs","1","positive","138"
"7803","cs","0","neutral","100"
"65201","cs","0","neutral","100"
"2753","cs","0","neutral","100"
"25695","cs","0","neutral","100"
"53753","cs","1","positive","100"
"12535","cs","1","positive","100"
"16259","cs","1","positive","100"
"19448","cs","0","neutral","100"
"45450","cs","1","positive","185"
"49538","cs","0","neutral","100"
"22194","cs","1","positive","100"
"51956","cs","1","positive","100"
"58534","cs","0","neutral","100"
"57116","cs","1","positive","100"
"23232","cs","0","neutral","100"
"66650","cs","1","positive","100"
"60057","cs","-1","negative","384"
"3702","cs","0","neutral","100"
"37054","cs","0","neutral","100"
"6341","cs","0","neutral","100"
"15544","cs","0","neutral","100"
"54623","cs","0","neutral","157"
"13282","cs","0","neutral","100"
"15825","cs","0","neutral","100"
"19969","cs","0","neutral","100"
"23900","cs","-1","negative","100"
"39649","cs","1","positive","147"
"51538","cs","0","neutral","100"
"24977","cs","1","positive","151"
"51215","cs","0","neutral","363"
"19295","cs","0","neutral","114"
"6095","cs","1","positive","100"
"33587","cs","1","positive","100"
"16800","cs","1","positive","100"
"25363","cs","0","neutral","169"
"5576","cs","0","neutral","100"
"58359","cs","0","neutral","100"
"55495","cs","0","neutral","100"
"63382","cs","0","neutral","100"
"30172","cs","0","neutral","100"
"33814","cs","0","neutral","100"
"19756","cs","0","neutral","100"
"42112","cs","0","neutral","142"
"70370","cs","0","neutral","100"
"27225","cs","-1","negative","100"
"6290","cs","1","positive","100"
"24420","cs","0","neutral","100"
"1377","cs","0","neutral","100"
"19235","cs","1","positive","116"
"48652","cs","0","neutral","100"
"61121","cs","0","neutral","198"
"34592","cs","1","positive","158"
"8964","cs","0","neutral","100"
"16787","cs","0","neutral","100"
"6585","cs","0","neutral","100"
"24903","cs","-1","negative","100"
"36338","cs","0","neutral","100"
"67208","cs","1","positive","100"
"47861","cs","1","positive","100"
"35753","cs","0","neutral","100"
"31742","cs","-1","negative","198"
"9361","cs","0","neutral","100"
"14439","cs","0","neutral","100"
"66586","cs","0","neutral","100"
"63595","cs","0","neutral","100"
"47240","cs","1","positive","333"
"20796","cs","0","neutral","100"
"19415","cs","0","neutral","100"
"36214","cs","0","neutral","381"
"33438","cs","0","neutral","100"
"63808","cs","0","neutral","100"
"31406","cs","0","neutral","100"
"38097","cs","0","neutral","160"
"48484","cs","1","positive","101"
"24442","cs","1","positive","181"
"29338","cs","1","positive","100"
"50857","cs","0","neutral","100"
"21247","cs","-1","negative","100"
"43779","cs","-1","negative","869"
"34452","cs","0","neutral","100"
"37295","cs","1","positive","100"
"56895","cs","0","neutral","359"
"30077","cs","1","positive","114"
"9416","cs","1","positive","100"
"8101","cs","0","neutral","100"
"43608","cs","1","positive","165"
"67128","cs","0","neutral","100"
"8577","cs","1","positive","100"
"22661","cs","-1","negative","100"
"21017","cs","0","neutral","100"
"51737","cs","-1","negative","100"
"11173","cs","-1","negative","140"
"1004","cs","1","positive","100"
"59161","cs","0","neutral","192"
"15197","cs","0","neutral","100"
"24738","cs","0","neutral","100"
"48222","cs","1","positive","100"
"67818","cs","1","positive","101"
"31779","cs","0","neutral","137"
"55476","cs","1","positive","100"
"45926","cs","0","neutral","198"
"14310","cs","1","positive","100"
"22204","cs","1","positive","100"
"41366","cs","0","neutral","100"
"43403","cs","0","neutral","100"
"46621","cs","1","positive","100"
"18618","cs","0","neutral","129"
"52064","cs","1","positive","125"
"25260","cs","1","positive","100"
"19724","cs","0","neutral","100"
"54286","cs","0","neutral","100"
"2767","cs","0","neutral","122"
"63128","cs","1","positive","100"
"62702","cs","1","positive","137"
"19461","cs","0","neutral","100"
"21291","cs","-1","negative","121"
"42707","cs","-1","negative","120"
"43770","cs","0","neutral","100"
"943","cs","0","neutral","100"
"59984","cs","1","positive","152"
"2162","cs","1","positive","226"
"39858","cs","1","positive","100"
"44766","cs","-1","negative","153"
"57591","cs","0","neutral","1353"
"68173","cs","1","positive","354"
"17528","cs","0","neutral","100"
"16362","cs","0","neutral","100"
"38505","cs","1","positive","100"
"10520","cs","-1","negative","100"
"65742","cs","1","positive","100"
"6362","cs","0","neutral","100"
"62278","cs","1","positive","230"
"20197","cs","1","positive","100"
"10014","cs","-1","negative","100"
"68766","cs","0","neutral","128"
"66156","cs","1","positive","100"
"12773","cs","0","neutral","248"
"67283","cs","0","neutral","100"
"66812","cs","1","positive","141"
"32150","cs","-1","negative","195"
"60819","cs","1","positive","156"
"40144","cs","0","neutral","190"
"29178","cs","1","positive","510"
"5075","cs","1","positive","206"
"57200","cs","0","neutral","484"
"61056","cs","1","positive","100"
"2878","cs","0","neutral","100"
"36572","cs","0","neutral","100"
"65435","cs","0","neutral","100"
"56664","cs","0","neutral","100"
"13549","cs","0","neutral","100"
"30504","cs","-1","negative","100"
"36611","cs","1","positive","100"
"70488","cs","0","neutral","100"
"31629","cs","1","positive","191"
"17965","cs","0","neutral","100"
"13700","cs","0","neutral","100"
"44169","cs","0","neutral","100"
"48620","cs","0","neutral","192"
"12174","cs","0","neutral","100"
"39578","cs","-1","negative","100"
"64665","cs","0","neutral","100"
"33292","cs","-1","negative","100"
"32093","cs","1","positive","100"
"43821","cs","1","positive","130"
"51340","cs","0","neutral","273"
"34005","cs","0","neutral","100"
"31636","cs","1","positive","122"
"32695","cs","1","positive","189"
"68889","cs","0","neutral","142"
"24822","cs","-1","negative","100"
"28082","cs","0","neutral","100"
"3425","cs","0","neutral","100"
"39215","cs","1","positive","116"
"51868","cs","1","positive","336"
"22912","cs","0","neutral","100"
"4946","cs","1","positive","247"
"46011","cs","0","neutral","100"
"21740","cs","1","positive","100"
"3814","cs","1","positive","100"
"53376","cs","1","positive","122"
"36503","cs","1","positive","121"
"11408","cs","0","neutral","100"
"53395","cs","-1","negative","100"
"44152","cs","0","neutral","100"
"33380","cs","1","positive","100"
"68745","cs","1","positive","100"
"1661","cs","1","positive","175"
"46966","cs","1","positive","100"
"52721","cs","1","positive","100"
"20721","cs","0","neutral","100"
"61135","cs","0","neutral","100"
"6759","cs","1","positive","162"
"46320","cs","0","neutral","100"
"58032","cs","0","neutral","100"
"13305","cs","0","neutral","211"
"66111","cs","1","positive","100"
"30330","cs","1","positive","212"
"45663","cs","-1","negative","100"
"44620","cs","1","positive","100"
"57343","cs","1","positive","100"
"8747","cs","0","neutral","100"
"44952","cs","0","neutral","100"
"49959","cs","0","neutral","100"
"61814","cs","1","positive","100"
"44679","cs","0","neutral","100"
"55356","cs","0","neutral","905"
"56566","cs","1","positive","100"
"35819","cs","0","neutral","100"
"19467","cs","0","neutral","100"
"21197","cs","0","neutral","100"
"58365","cs","-1","negative","100"
"18535","cs","0","neutral","100"
"31542","cs","-1","negative","100"
"37422","cs","1","positive","100"
"30273","cs","0","neutral","100"
"45477","cs","1","positive","100"
"28348","cs","0","neutral","100"
"10842","cs","0","neutral","100"
"33996","cs","0","neutral","194"
"47837","cs","0","neutral","100"
"43712","cs","0","neutral","100"
"57249","cs","1","positive","100"
"44458","cs","1","positive","100"
"63348","cs","0","neutral","100"
"11000","cs","1","positive","100"
"43402","cs","0","neutral","100"
"27198","cs","0","neutral","100"
"57228","cs","0","neutral","282"
"21296","cs","0","neutral","100"
"46954","cs","-1","negative","112"
"43000","cs","0","neutral","100"
"30374","cs","0","neutral","100"
"15134","cs","-1","negative","100"
"67919","cs","0","neutral","100"
"56606","cs","1","positive","100"
"11293","cs","0","neutral","100"
"18795","cs","0","neutral","100"
"42902","cs","0","neutral","119"
"42127","cs","-1","negative","228"
"25892","cs","0","neutral","100"
"39553","cs","1","positive","250"
"12585","cs","1","positive","103"
"25468","cs","1","positive","197"
"57052","cs","1","positive","100"
"37748","cs","0","neutral","1353"
"66646","cs","1","positive","100"
"69460","cs","1","positive","117"
"14993","cs","1","positive","274"
"39940","cs","1","positive","100"
"52157","cs","1","positive","134"
"17144","cs","0","neutral","448"
"4090","cs","0","neutral","100"
"39761","cs","1","positive","100"
"40066","cs","1","positive","100"
"3363","cs","0","neutral","100"
"46549","cs","1","positive","472"
"51136","cs","0","neutral","100"
"29191","cs","0","neutral","100"
"62022","cs","0","neutral","100"
"13171","cs","1","positive","100"
"58937","cs","0","neutral","100"
"7607","cs","0","neutral","100"
"61514","cs","0","neutral","100"
"67698","cs","0","neutral","100"
"60154","cs","0","neutral","194"
"41948","cs","1","positive","100"
"42891","cs","1","positive","136"
"32780","cs","1","positive","100"
"55941","cs","0","neutral","100"
"59686","cs","1","positive","145"
"17946","cs","1","positive","267"
"35818","cs","0","neutral","100"
"21147","cs","1","positive","466"
"53349","cs","0","neutral","100"
"29434","cs","-1","negative","100"
"14517","cs","0","neutral","100"
"64172","cs","0","neutral","100"
"34526","cs","0","neutral","100"
"49552","cs","0","neutral","100"
"47241","cs","1","positive","100"
"68367","cs","1","positive","142"
"46797","cs","0","neutral","100"
"45011","cs","0","neutral","116"
"6784","cs","1","positive","100"
"24083","cs","0","neutral","100"
"36463","cs","1","positive","206"
"8484","cs","0","neutral","100"
"39436","cs","1","positive","130"
"6402","cs","0","neutral","100"
"8563","cs","0","neutral","104"
"26461","cs","0","neutral","100"
"30990","cs","0","neutral","100"
"43281","cs","1","positive","100"
"40869","cs","0","neutral","100"
"43377","cs","0","neutral","100"
"14007","cs","0","neutral","100"
"42504","cs","0","neutral","100"
"8482","cs","0","neutral","100"
"15113","cs","1","positive","328"
"17740","cs","0","neutral","100"
"45187","cs","-1","negative","251"
"37453","cs","1","positive","100"
"62129","cs","1","positive","100"
"21749","cs","-1","negative","100"
"58984","cs","1","positive","100"
"14345","cs","0","neutral","100"
"30884","cs","0","neutral","100"
"68500","cs","1","positive","105"
"36318","cs","0","neutral","100"
"63517","cs","0","neutral","506"
"67301","cs","0","neutral","100"
"36470","cs","1","positive","100"
"12995","cs","0","neutral","100"
"53856","cs","1","positive","100"
"17449","cs","1","positive","135"
"7595","cs","0","neutral","100"
"7075","cs","0","neutral","100"
"956","cs","0","neutral","100"
"49040","cs","-1","negative","185"
"25649","cs","0","neutral","1136"
"34508","cs","0","neutral","100"
"63758","cs","0","neutral","100"
"47524","cs","1","positive","100"
"49597","cs","0","neutral","100"
"63451","cs","1","positive","100"
"23093","cs","1","positive","103"
"24100","cs","1","positive","100"
"24857","cs","1","positive","128"
"11351","cs","1","positive","100"
"62110","cs","-1","negative","105"
"36712","cs","0","neutral","100"
"23617","cs","0","neutral","100"
"21587","cs","-1","negative","266"
"47683","cs","0","neutral","100"
"64498","cs","1","positive","262"
"67969","cs","0","neutral","100"
"35376","cs","0","neutral","100"
"49495","cs","0","neutral","100"
"51334","cs","1","positive","100"
"67240","cs","0","neutral","100"
"60048","cs","1","positive","209"
"48926","cs","1","positive","100"
"32794","cs","1","positive","104"
"51715","cs","0","neutral","205"
"19546","cs","0","neutral","100"
"55286","cs","1","positive","100"
"7042","cs","1","positive","145"
"5097","cs","-1","negative","122"
"8778","cs","0","neutral","100"
"17854","cs","0","neutral","100"
"46016","cs","1","positive","100"
"70061","cs","0","neutral","100"
"47070","cs","-1","negative","142"
"45582","cs","0","neutral","114"
"54064","cs","1","positive","100"
"46184","cs","0","neutral","100"
"30376","cs","0","neutral","100"
"26158","cs","-1","negative","100"
"12334","cs","0","neutral","100"
"8191","cs","0","neutral","100"
"56495","cs","-1","negative","100"
"14002","cs","0","neutral","100"
"67359","cs","-1","negative","100"
"36367","cs","-1","negative","114"
"4838","cs","-1","negative","100"
"57224","cs","1","positive","100"
"56418","cs","1","positive","100"
"10145","cs","0","neutral","182"
"19191","cs","0","neutral","146"
"44573","cs","0","neutral","100"
"24006","cs","1","positive","116"
"36233","cs","0","neutral","100"
"44339","cs","0","neutral","100"
"18215","cs","-1","negative","100"
"4302","cs","0","neutral","289"
"55085","cs","1","positive","100"
"22871","cs","0","neutral","100"
"50227","cs","1","positive","281"
"29268","cs","-1","negative","100"
"40359","cs","1","positive","100"
"49253","cs","0","neutral","100"
"45814","cs","0","neutral","122"
"46305","cs","1","positive","100"
"42436","cs","1","positive","100"
"34951","cs","1","positive","100"
"7053","cs","1","positive","100"
"7362","cs","0","neutral","100"
"39081","cs","1","positive","131"
"29818","cs","0","neutral","139"
"4890","cs","1","positive","100"
"63029","cs","1","positive","114"
"26492","cs","1","positive","100"
"31369","cs","1","positive","260"
"29657","cs","1","positive","100"
"52554","cs","0","neutral","100"
"42528","cs","-1","negative","100"
"48042","cs","-1","negative","100"
"22533","cs","0","neutral","100"
"38692","cs","1","positive","100"
"24498","cs","1","positive","100"
"5150","cs","-1","negative","112"
"42551","cs","1","positive","138"
"1639","cs","1","positive","100"
"54553","cs","1","positive","100"
"51593","cs","1","positive","100"
"25183","cs","0","neutral","100"
"42547","cs","0","neutral","100"
"49505","cs","1","positive","245"
"9881","cs","0","neutral","100"
"27371","cs","1","positive","452"
"38434","cs","1","positive","477"
"32221","cs","0","neutral","100"
"61126","cs","1","positive","316"
"13186","cs","0","neutral","100"
"32868","cs","1","positive","100"
"39426","cs","1","positive","100"
"59850","cs","0","neutral","100"
"10164","cs","0","neutral","100"
"22366","cs","0","neutral","100"
"30303","cs","1","positive","116"
"16392","cs","0","neutral","100"
"54339","cs","0","neutral","286"
"62834","cs","1","positive","101"
"31305","cs","1","positive","101"
"1674","cs","1","positive","182"
"6289","cs","0","neutral","100"
"31335","cs","1","positive","151"
"29776","cs","0","neutral","141"
"16574","cs","0","neutral","100"
"53337","cs","0","neutral","100"
"25549","cs","-1","negative","238"
"33130","cs","0","neutral","100"
"35077","cs","1","positive","100"
"27241","cs","0","neutral","100"
"59797","cs","1","positive","100"
"20232","cs","0","neutral","100"
"18253","cs","0","neutral","100"
"68696","cs","1","positive","379"
"22722","cs","0","neutral","100"
"8828","cs","0","neutral","100"
"62303","cs","1","positive","100"
"64079","cs","0","neutral","100"
"17675","cs","1","positive","116"
"32576","cs","0","neutral","132"
"60460","cs","0","neutral","100"
"42913","cs","0","neutral","164"
"41817","cs","0","neutral","100"
"22018","cs","1","positive","100"
"3693","cs","0","neutral","100"
"8883","cs","1","positive","100"
"3485","cs","0","neutral","100"
"27056","cs","1","positive","100"
"60353","cs","0","neutral","100"
"35060","cs","1","positive","100"
"17796","cs","1","positive","100"
"15511","cs","1","positive","100"
"8280","cs","1","positive","100"
"64266","cs","0","neutral","100"
"50953","cs","1","positive","156"
"64691","cs","1","positive","135"
"47384","cs","1","positive","100"
"18044","cs","1","positive","306"
"50508","cs","1","positive","100"
"64381","cs","0","neutral","100"
"47659","cs","1","positive","100"
"22701","cs","0","neutral","100"
"36698","cs","0","neutral","100"
"42026","cs","1","positive","142"
"4645","cs","1","positive","100"
"33815","cs","1","positive","100"
"40257","cs","1","positive","100"
"58998","cs","0","neutral","100"
"67368","cs","1","positive","100"
"53072","cs","1","positive","100"
"19212","cs","1","positive","100"
"33602","cs","0","neutral","178"
"3212","cs","0","neutral","100"
"60155","cs","0","neutral","283"
"60907","cs","-1","negative","279"
"28268","cs","0","neutral","100"
"773","cs","1","positive","100"
"39451","cs","1","positive","240"
"44785","cs","1","positive","100"
"44941","cs","1","positive","100"
"33405","cs","1","positive","100"
"22531","cs","1","positive","115"
"26122","cs","1","positive","166"
"64766","cs","1","positive","100"
"5006","cs","0","neutral","100"
"34995","cs","0","neutral","100"
"5196","cs","0","neutral","127"
"41092","cs","0","neutral","100"
"12035","cs","1","positive","100"
"9697","cs","0","neutral","100"
"62077","cs","0","neutral","100"
"5249","cs","1","positive","184"
"25662","cs","0","neutral","100"
"36281","cs","1","positive","100"
"38318","cs","-1","negative","100"
"8796","cs","-1","negative","100"
"43801","cs","-1","negative","100"
"70731","cs","-1","negative","132"
"45422","cs","0","neutral","100"
"13307","cs","0","neutral","100"
"52951","cs","1","positive","100"
"5908","cs","0","neutral","100"
"61417","cs","1","positive","780"
"44861","cs","1","positive","130"
"13909","cs","0","neutral","100"
"18737","cs","1","positive","241"
"54260","cs","0","neutral","100"
"58614","cs","0","neutral","451"
"8406","cs","1","positive","140"
"20703","cs","0","neutral","100"
"53570","cs","0","neutral","100"
"69179","cs","1","positive","100"
"68134","cs","1","positive","100"
"41823","cs","1","positive","100"
"64312","cs","0","neutral","100"
"68664","cs","1","positive","100"
"27435","cs","1","positive","688"
"36638","cs","1","positive","221"
"27852","cs","0","neutral","100"
"24842","cs","0","neutral","100"
"34319","cs","0","neutral","100"
"33778","cs","1","positive","100"
"46767","cs","1","positive","144"
"1168","cs","0","neutral","136"
"25718","cs","1","positive","100"
"48520","cs","0","neutral","234"
"33251","cs","0","neutral","100"
"64067","cs","1","positive","254"
"11042","cs","-1","negative","274"
"41094","cs","0","neutral","100"
"52163","cs","1","positive","330"
"66834","cs","1","positive","207"
"40273","cs","0","neutral","100"
"69442","cs","0","neutral","100"
"70621","cs","0","neutral","100"
"60087","cs","1","positive","100"
"31529","cs","0","neutral","220"
"21912","cs","0","neutral","100"
"68711","cs","-1","negative","120"
"67656","cs","1","positive","534"
"60881","cs","0","neutral","125"
"69338","cs","0","neutral","100"
"65308","cs","0","neutral","100"
"29474","cs","0","neutral","108"
"18604","cs","0","neutral","100"
"32411","cs","0","neutral","100"
"22618","cs","0","neutral","100"
"6523","cs","0","neutral","100"
"30840","cs","1","positive","100"
"26537","cs","0","neutral","220"
"57320","cs","0","neutral","100"
"14639","cs","0","neutral","100"
"42964","cs","1","positive","129"
"10909","cs","0","neutral","494"
"5323","cs","1","positive","108"
"18139","cs","1","positive","100"
"63223","cs","-1","negative","100"
"54799","cs","0","neutral","124"
"14521","cs","0","neutral","100"
"16825","cs","1","positive","100"
"64121","cs","0","neutral","100"
"6760","cs","1","positive","100"
"28074","cs","0","neutral","100"
"52375","cs","1","positive","100"
"33197","cs","1","positive","100"
"56269","cs","0","neutral","111"
"67981","cs","1","positive","100"
"19826","cs","0","neutral","100"
"42470","cs","1","positive","100"
"62520","cs","0","neutral","748"
"62363","cs","0","neutral","100"
"21808","cs","0","neutral","100"
"46108","cs","1","positive","100"
"33230","cs","1","positive","100"
"30144","cs","0","neutral","100"
"42543","cs","0","neutral","100"
"35249","cs","-1","negative","100"
"68366","cs","0","neutral","155"
"985","cs","0","neutral","100"
"20675","cs","1","positive","100"
"42333","cs","-1","negative","100"
"49730","cs","-1","negative","270"
"66595","cs","0","neutral","100"
"17461","cs","0","neutral","100"
"33431","cs","0","neutral","417"
"59127","cs","0","neutral","100"
"36286","cs","0","neutral","100"
"50261","cs","0","neutral","100"
"29940","cs","1","positive","108"
"10230","cs","0","neutral","267"
"14018","cs","1","positive","100"
"27741","cs","1","positive","100"
"43016","cs","1","positive","100"
"10130","cs","1","positive","100"
"66031","cs","1","positive","100"
"11091","cs","1","positive","100"
"35499","cs","1","positive","308"
"36475","cs","0","neutral","153"
"11211","cs","1","positive","216"
"3396","cs","1","positive","100"
"51368","cs","0","neutral","258"
"7527","cs","1","positive","206"
"56458","cs","0","neutral","318"
"28265","cs","0","neutral","100"
"7999","cs","0","neutral","158"
"57092","cs","0","neutral","346"
"28777","cs","0","neutral","153"
"2014","cs","1","positive","632"
"16654","cs","-1","negative","100"
"60168","cs","-1","negative","100"
"40236","cs","1","positive","100"
"46500","cs","1","positive","100"
"60028","cs","0","neutral","100"
"16555","cs","0","neutral","100"
"54342","cs","0","neutral","100"
"58921","cs","1","positive","376"
"20187","cs","0","neutral","100"
"62599","cs","1","positive","100"
"3291","cs","0","neutral","162"
"21409","cs","-1","negative","109"
"10581","cs","1","positive","160"
